title,year,numPages,DOI
Detecting Patch Submission and Acceptance in OSS Projects.,2007,,10.1109/MSR.2007.6
Mining email social networks.,2006,7,10.1145/1137983.1138016
Mining email social networks in Postgres.,2006,2,10.1145/1137983.1138033
Open Borders? Immigration in Open Source Projects.,2007,,10.1109/MSR.2007.23
Who? Where? What? Examining distributed development in two large open source projects.,2012,10,10.1109/MSR.2012.6224286
The promises and perils of mining git.,2009,10,10.1109/MSR.2009.5069475
Built to last or built too fast?: evaluating prediction models for build times.,2017,4,10.1109/MSR.2017.36
Boa meets python: a boa dataset of data science software in python language.,2019,5,10.1109/MSR.2019.00086
Exploring word embedding techniques to improve sentiment analysis of software engineering texts.,2019,11,10.1109/MSR.2019.00020
Sentiment analysis in tickets for IT support.,2016,12,10.1145/2901739.2901781
Assessing diffusion and perception of test smells in scala projects.,2019,11,10.1109/MSR.2019.00072
Ecosystems in GitHub and a Method for Ecosystem Identification Using Reference Coupling.,2015,10,10.1109/MSR.2015.26
Innovation diffusion in open source software: preliminary analysis of dependency changes in the gentoo portage package database.,2014,4,10.1145/2597073.2597079
Gentoo package dependencies over time.,2014,4,10.1145/2597073.2597131
"Insights into Vulnerability Trends in Maven Artifacts: Recurrence, Popularity, and User Behavior.",2025,5,10.1109/MSR66628.2025.00051
The Ecosystem of Open-Source Music Production Software - A Mining Study on the Development Practices of VST Plugins on GitHub.,2025,13,10.1109/MSR66628.2025.00085
To Type or Not to Type? A Systematic Comparison of the Software Quality of JavaScript and TypeScript Applications on GitHub.,2022,12,10.1145/3524842.3528454
DPy: Code Smells Detection Tool for Python.,2025,5,10.1109/MSR66628.2025.00119
Evaluating the relation between coding standard violations and faultswithin and across software versions.,2009,10,10.1109/MSR.2009.5069479
Detecting Video Game-Specific Bad Smells in Unity Projects.,2020,11,10.1145/3379597.3387454
Building reputation in StackOverflow: an empirical investigation.,2013,4,10.1109/MSR.2013.6624013
Characteristics of Useful Code Reviews: An Empirical Study at Microsoft.,2015,11,10.1109/MSR.2015.21
A comparative exploration of FreeBSD bug lifetimes.,2010,4,10.1109/MSR.2010.5463291
Supporting software history exploration.,2011,10,10.1145/1985441.1985469
The open-closed principle of modern machine learning frameworks.,2018,11,10.1145/3196398.3196445
Spencer: interactive heap analysis for the masses.,2017,11,10.1109/MSR.2017.35
LogChunks: A Data Set for Build Log Analysis.,2020,5,10.1145/3379597.3387485
Error mining: Bug detection through comparison with large code databases.,2012,4,10.1109/MSR.2012.6224278
